Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
OT 19480908,19 05 36.7,+14 11 48, ,,, , , , , , , , Aql, 19 05 36.7, +14 11 48., , , , , ,47,3, ug:, , , , 10.8p-13.p, C00005, , 1985-09*, 1987-14*, , , NSV 24685, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 05 36.7+++14 11 48.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Aql 2001,19 07 28.41,+11 44 45.8, ,,, , , , , , , , V1548 Aql, 19 07 28.42, +11 44 45.8, , , , , ,45,2, n, , 2001.27, , 10.8V-<18.V, 2001-22, , 2001-23, 2001-24*, 2001-23X, , TAV J1907+117, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 07 28.42+++11 44 45.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Aql 1951,19 07 39.79,+10 29 43.7, ,,, , , , , , , , V841 Aql, 19 07 39.79, +10 29 43.7, , , , , ,44,1, n, , 1951., , 11.5p-<17.5p, C00002, , 1987-08, 1987-08*, 1999-09S*, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 07 39.79+++10 29 43.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V415 Lyr,19 08 03.88,+31 23 55.7, ,,, , , , , , , , V415 Lyr, 19 08 03.89, +31 23 55.5, , , , , ,63,10, ug:, , , , 14.8p-<17.0p, ICRS, , 1987-04, 1987-04, 1992-06S, , SVS 1640, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 08 03.89+++31 23 55.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V1089 Sgr,19 08 46.38,-17 21 46.7, ,,, , , , , , , , V1089 Sgr, 19 08 46.38, -17 21 46.7, , , , , ,19,-12, ug, , , , 13.8p-17p, 1998-79, , 1999-41*, 1999-41*, , , vG 136, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 08 46.38++-17 21 46.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V452 Lyr,19 10 26.32,+43 28 55.2, ,,, , , , , , , , V452 Lyr, 19 10 26.33, +43 28 55.0, , , , , ,74,15, UG:, , , , 17.6p-<18.5p, ICRS, , T00000, 1972-03, , , GR 252, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 26.33+++43 28 55.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[G93] NGC 6752 A,19 10 40.375,-59 58 41.47, ,,, , , , , , , , Pav, 19 10 40.24, -59 58 42.3, , , , , ,336,-26, cv, , , G, 21.3B-, ICRS, , 2002-03, 2002-03, , , NGC 6752-CX3, , Y, , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 40.24++-59 58 42.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[PLH2002] CX13,19 10 40.610,-60 00 05.91, ,,, , , , , , , , Pav, 19 10 40.49, -60 00 06.7, , , , , ,336,-26, cv, , , G, 23.6B-, ICRS, , 2002-03, 2002-03, , , NGC 6752-CX13, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 40.49++-60 00 06.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[PLH2002] CX5,19 10 51.414,-59 59 05.18, ,,, , , , , , , , Pav, 19 10 51.29, -59 59 05.9, , , , , ,336,-26, cv:, , , G, 19.0V-, ICRS, , 2002-03*, 2002-03, , , NGC 6752-CX5, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 51.29++-59 59 05.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[JVH94] NGC  6752 22,19 10 51.505,-59 59 27.10, ,,, , , , , , , , Pav, 19 10 51.37, -59 59 27.8, , , , , ,336,-26, cv, , , G, 22.7B-, ICRS, , 2002-03, 2002-03, , , NGC 6752-CX6, , Y, , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 51.37++-59 59 27.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[PLH2002] CX11,19 10 52.376,-59 59 05.56, ,,, , , , , , , , Pav, 19 10 52.4, -59 59 06., , , , , ,336,-26, cv:, , , G, 21.7B-, 2002-03, , 2002-03*, 2002-03*, , , NGC 6752-CX11, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 52.4++-59 59 06.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[PLH2002] CX10,19 10 54.754,-59 59 13.86, ,,, , , , , , , , Pav, 19 10 54.83, -59 59 15.0, , , , , ,336,-26, cv, , , G, 19.9V-, ICRS, , 2002-03, 2002-03, , , NGC 6752-CX10, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 54.83++-59 59 15.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[PLH2002] CX15,19 10 55.847,-59 57 45.78, ,,, , , , , , , , Pav, 19 10 56.04, -59 57 47.2, , , , , ,337,-26, cv:, , , G, 22.0V-, ICRS, , 2002-03V, 2002-03, , , NGC 6752-CX15, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 56.04++-59 57 47.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
[G93] NGC 6752 D,19 10 56.005,-59 59 37.33, ,,, , , , , , , , Pav, 19 10 56.35, -59 59 37.1, , , , , ,336,-26, cv, , , G, 19.4V-, ICRS, , 2002-03, 2002-03, , , NGC 6752-CX2, , Y, , , , , Y, , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 10 56.35++-59 59 37.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NOVA Sgr 1927,19 11 16.3,-29 50 00, ,,, , , , , , , , V363 Sgr, 19 11 16.3, -29 50 00., , , , , ,8,-17, na, , 1927.59, , 8.8p-20j, C00003, , 1987-08, 1987-08:*, 1987-08X:, , , , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 11 16.3++-29 50 00.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V369 Lyr,19 11 55.0,+32 12 07, ,,, , , , , , , , V369 Lyr, 19 11 55., +32 12 07., , , , , ,64,10, NA, , 1960.62, , 15.2p-<20p, C00001, , T00000, 1968-05*, , , SVS 1512, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 11 55.+++32 12 07.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
