Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
CD Ind,21 15 41.0456943110,-58 40 54.060875785,CD Ind,21 15 41.0,-58 40 54, NL, AM, 17.13, 0.077006, 244.15, 9.47, 9.77, CD Ind, 21 15 40.97, -58 40 53.6, , , , , ,337,-41, am, 0.077006, , , 16.0v-17.8V, ICRS, , 1996-23, 1996-17, 1996-17S, 1999-70, Ind1,  EUVE J2115-586, , Y, , , , , Y, , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CD Ind,
V2069 Cyg,21 23 44.8214789115,+42 18 01.634189326,V2069 Cyg,21 23 44.8,+42 18 02, NL, IP, 15.49, 0.311680, 1183.92, 68.57, 76.18, V2069 Cyg, 21 23 44.84, +42 18 01.8, 0.0047,5, -0.0037,5,2000,87,-6, cv/dq:, 0.31168, , , 16.0V- , 2004-106, 2004-106, 1996-09, 1996-09, 1996-09S, 2001-43, Cyg6,  RX J2123.7+421, , , , , , , Y, , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V2069 Cyg,
VZ Aqr,21 30 24.6233346783,-02 59 17.617339655,VZ Aqr,21 30 24.6,-02 59 18, DN, UG, 17.52, 0.160600, 603.23, 79.33, 98.59, VZ Aqr, 21 30 24.64, -02 59 17.1, 0.0128,5, 0.0149,5,2000,51,-36, ug, , , , 11.3p-17.2p, 1987-28, 1987-28, 1982-03, 1982-03, 1992-01S, , SVS 52, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VZ Aqr,
CI Gru,21 33 06.79,-42 28 51.5,CI Gru,21 33 06.8,-42 28 52, DN, SU, 19.23, 0.056000, -70.99, 0.01, 0.01, CI Gru, 21 33 06.85, -42 28 52.0, , , , , ,359,-46, ug, , , , 16.5B-18.5B, ICRS, , 1990-18, 1981-14*, 1983-13X:, *, Gru1,  Hawkins V6, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CI Gru,
V630 Cyg,21 34 59.1803955282,+40 40 18.529920975,V630 Cyg,21 34 59.2,+40 40 19, DN, SU, 19.19, 0.076600, 496.10, 106.00, 183.85, V630 Cyg, 21 34 59.22, +40 40 18.7, , , , , ,88,-8, ugsu, , , , 13.8V-17.2V, ICRS, , 1996-49, 1987-04, 1992-06S, *, S 4556, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V630 Cyg,
V632 Cyg,21 36 04.2150789050,+40 26 19.390210705,V632 Cyg,21 36 04.2,+40 26 19, DN, SU, 17.20, 0.063770, 515.59, 29.66, 31.21, V632 Cyg, 21 36 04.21, +40 26 19.5, 0.0071,5, 0.0005,5,2000,88,-8, cv/UGSS, , , , 12.6p-17.5p, 2004-106, 2004-106, 1996-21/T00000, 1957-01, 1999-08S, , S 4558, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V632 Cyg,
LQ Peg,21 36 19.1178186415,+11 40 54.378039499,LQ Peg,21 36 19.1,+11 40 55, NL, VY, 14.80, 0.124747, 1098.17, 95.93, 112.61, LQ Peg, 21 36 19.12, +11 40 54.4, 0.00497, 0.0039,-6E-05, 0.00389,2000738,66,-29, ux, , , , 14.0B-17.5B, 2006-22, 2006-22, 1994-49, 1986-06, 1984-10S, *, Peg6,  PG 2133+115, Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=LQ Peg,
CE Gru,21 37 56.38,-43 42 13.1,CE Gru,21 37 56.4,-43 42 13, NL, AM,  nan, 0.075400, nan, nan, nan, CE Gru, 21 37 56.43, -43 42 13.6, , , , , ,357,-48, am, 0.0754, , , 18.0B-20.7B, ICRS, , 1995-41, 1981-14, 1983-13S, 1988-28, Gru2,  Hawkins V1, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CE Gru,
V1251 Cyg,21 40 54.40,+48 39 43.3,V1251 Cyg,21 40 54.4,+48 39 43, DN, SU, 20.26, 0.073700, 727.59, 329.47, 2674.15, V1251 Cyg, 21 40 54.40, +48 39 43.3, , , , , ,94,-3, ugsu, , , , 12.5p-<15p, 2001-07, , 1995-41, 1995-27*, , *, Wr 160, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V1251 Cyg,
CF Gru,21 41 22.96,-45 04 31.0,CF Gru,21 41 23.0,-45 04 31, DN, UG, 19.40, 0.069000, 1882.96, 1085.16, 3872.94, CF Gru, 21 41 22.98, -45 04 31.4, , , , , ,355,-48, ug, , , , >18.7B-20.4B, ICRS, , 1987-10, 1987-10, 1987-10S, *, Gru3,  2138-453, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CF Gru,
Q  Cyg,21 41 43.9276952364,+42 50 29.039173205,Q  Cyg,21 41 43.9,+42 50 29, Na,   , 14.52, 0.420360, 1376.33, 72.85, 78.07, Q Cyg, 21 41 43.93, +42 50 29.1, 0.0029, 0.0054, -0.0039, 0.0054,2000,90,-7, na, 0.4202, 1876.90, , 3.0v-15.6v, 2004-105, 2004-105, 1987-08, 1987-08, 1986-08S, 2003-85, BD +42 4182a, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=Q  Cyg,
V1668 Cyg,21 42 35.22,+44 01 54.9,V1668 Cyg,21 42 35.2,+44 01 55, Na,   , 20.43, 0.138400, -1.13, 0.02, 0.02, V1668 Cyg, 21 42 35.22, +44 01 54.9, , , , , ,91,-7, na, 0.1384, 1978.69, , 6.7p-19.8B, C00002, , 1987-08, 1987-08, 1980-02X:, 1990-38, , Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V1668 Cyg,
SS Cyg,21 42 42.8034554117,+43 35 09.863763484,SS Cyg,21 42 42.7,+43 35 10, DN, UG, 11.69, 0.275130, 114.67, 1.01, 1.06, SS Cyg, 21 42 42.80, +43 35 09.9, 0.1101, 0.0021, 0.03, 0.0019,2000,91,-7, ugss, 0.27513, , , 8.2v-12.1v, 2004-105, 2004-105, 1983-12, 1983-12, 1983-12S, 1990-35, BD +42 4189a, Y, Y, Y, Y, Y, Y, , Y, Y, Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=SS Cyg,
LS Peg,21 51 57.9372002301,+14 06 53.267732979,LS Peg,21 51 57.9,+14 06 54, NL, IP, 12.31, 0.174774, 287.62, 5.82, 5.91, LS Peg, 21 51 57.93, +14 06 53.3, 0.0167,2, -0.0139,2, 1991.25,71,-30, dq:, 0.174774, , , 11.6V-13.0V, 2000-110, 2000-110, 1992-32, A00001, 1988-03S, 1999-77, Peg2,  S193/NSV 13903, Y, , , , , , Y, Y, Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=LS Peg,
V388 Peg,21 57 32.3260046103,+08 55 15.074610880,V388 Peg,21 57 32.4,+08 55 14, NL, AM, 17.97, 0.140630, 719.41, 110.15, 174.31, V388 Peg, 21 57 32.30, +08 55 15.4,-8,4,-8,2,2000,67,-35, am, 0.14063, , , 17.5V- , 2003-115, 2003-115, 2000-12, 2000-12, 2000-12S, 2000-12, RX J2157.5+0855, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V388 Peg,
UU Aqr,22 09 05.7611667934,-03 46 17.688400697,UU Aqr,22 09 05.7,-03 46 18, NL, UX, 13.58, 0.163805, 256.22, 8.23, 8.80, UU Aqr, 22 09 05.76, -03 46 17.7, -0.0063, 0.0027, -0.0376, 0.0028,2000,57,-45, ux, 0.16358, , , 13.5V-15.5V, 2004-105, 2004-105, 1996-22, A00001, 1988-03S, 1994-58, 32.1963/StHA 196, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=UU Aqr,
RU Peg,22 14 02.5507273174,+12 42 11.275480341,RU Peg,22 14 02.6,+12 42 11, DN, UG, 12.27, 0.374600, 276.67, 5.77, 5.97, RU Peg, 22 14 02.56, +12 42 11.5, -0.01706, 0.0151, -0.0065, 0.01529, 1991.25,74,-35, ugSS, 0.3746, , , 9.0V-13.1V, 2001-119, 2001-119, 1987-20/T00000, 1982-03, 1983-12S, 1981-21, 142.1904, Y, Y, , , Y, Y, Y, , Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RU Peg,
CP Lac,22 15 41.1032698353,+55 37 01.322546558,CP Lac,22 15 41.2,+55 37 02, Na, SW, 15.66, 0.145143, 1172.74, 89.28, 106.42, CP Lac, 22 15 41.09, +55 37 01.3, -0.0156,5, -0.0068,5,2000,102,-1, na, , 1936., , 2.1v-16.1B, 2004-106, 2004-106, 1987-08, 1987-08, 1996-14S, *, 605.1936, Y, , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CP Lac,
FO Aqr,22 17 55.3796324299,-08 21 03.755362145,FO Aqr,22 17 55.4,-08 21 05, NL, IP, 13.52, 0.202060, 527.59, 22.35, 23.83, FO Aqr, 22 17 55.39, -08 21 03.8, 0.00306, 0.0039, 0.00082, 0.00389,2000672,53,-49, dq, 0.20206, , , 13.0v-14.0v, 2006-22, 2006-22, 1988-13, 1983-12, 1983-12S, 1998-85, H 2215-086, Y, Y, , Y, Y, Y, Y, Y, Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=FO Aqr,
HL Aqr,22 20 26.9273984400,+02 00 53.375490165,HL Aqr,22 20 26.9,+02 00 54, NL, UX, 13.43, 0.135570, 595.94, 27.38, 30.44, HL Aqr, 22 20 26.93, +02 00 53.4, -0.0061, 0.0054, -0.0095, 0.0054,2000,66,43, ux, 0.1356, , , 13.4B-13.6B, 2004-105, 2004-105, 1995-41, 1985-01, 1985-01S, 1987-24, PHL 227, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HL Aqr,
DI Lac,22 35 48.4952966889,+52 42 59.640075678,DI Lac,22 35 48.6,+52 43 00, Na,   , 14.47, 0.543773, 1648.72, 89.09, 96.07, DI Lac, 22 35 48.60, +52 42 59.5,0, ,1, ,1991615,103,-5, na, 0.543773, 1910.89, , 4.6v-15.0B, ICRS, 1923-03, 1987-08, 1987-08, 1983-12S, 1982-22, HD 214239, Y, Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=DI Lac,
Aqr 1,22 38 43.8306697898,+01 08 20.710444481,Aqr 1,22 38 43.8,+01 08 21, NL, IP, 18.43, 0.134930, 4444.09, 2241.59, 4623.60, Aqr1, 22 38 43.83, +01 08 20.7, -0.00191, 0.0039, -0.00788, 0.00389,2001786,69,-47, dq, , , , 18.5j- , 2006-22, 2006-22, 2004-92, A9999-99, 1992-13S, *, 2236+0052, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=Aqr 1,
V367 Peg,22 45 00.7447582872,+16 55 13.253490364,V367 Peg,22 45 00.7,+16 55 14, DN,   ,  nan, 0.161900, nan, nan, nan, V367 Peg, 22 45 00.71, +16 55 14.0, 0.04,2, -0.02,2,2000,84,-36, ug, 0.1619, , , 15.8p-<18.4V, 2003-115, 2003-115, 1999-20, 1999-20, , 2005-99, Antipin V65, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V367 Peg,
RZ Gru,22 47 12.0062857561,-42 44 38.722376815,RZ Gru,22 47 12.0,-42 44 39, NL, UX, 12.63, 0.360000, 545.10, 27.43, 30.71, RZ Gru, 22 47 12.00, -42 44 38.7, 0.0304, 0.0024, 0.0024, 0.0023,2000,353,-60, ux, , , , 12.3V-13.4V, 2000-110, 2000-110, 1995-41, 1981-15, 1981-15S, *, S 5150, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RZ Gru,
TY PsA,22 49 39.9046847942,-27 06 53.138810237,TY PsA,22 49 39.9,-27 06 54, DN, SU, 15.80, 0.084230, 184.34, 3.54, 3.55, TY PsA, 22 49 39.87, -27 06 53.3, 0.0383, 0.0059, 0.0053,3, 1991.25,26,-63, ugsu, 0.0841, , , 12V-17.v, 2004-109, 2004-109, 1987-20, 1982-02, 1982-02S, 1992-37, PS 74/NSV 14328, Y, , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TY PsA,
DK Lac,22 49 46.9314859439,+53 17 19.799282044,DK Lac,22 49 47.0,+53 17 20, Na, VY, 16.88, 0.129600, 2635.49, 601.64, 1124.37, DK Lac, 22 49 46.97, +53 17 20.0, 0.0035,5, 0.0086,5,2000,105,-5, na, , 1950.06, , 5.0p-15.5p, 2004-106, 2004-106, 1987-08, 1987-08*, 1996-14S, , , Y, Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=DK Lac,
AO Psc,22 55 17.9860142780,-03 10 39.982033015,AO Psc,22 55 18.0,-03 10 40, NL, IP, 13.23, 0.149627, 495.30, 16.66, 18.57, AO Psc, 22 55 17.99, -03 10 40.0, 0.0087, 0.0013, -0.0204,2,2000,69,-53, dq, 0.149626, , , 13.3V-15.0V, 2004-105, 2004-105, 1988-13, 1983-12, 1983-15S, 1988-24, H 2252-035, Y, Y, , Y, Y, Y, Y, Y, Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AO Psc,
V368 Peg,22 58 43.4811738543,+11 09 12.048868013,V368 Peg,22 58 43.5,+11 09 12, DN, SU, 19.06, 0.068600, 655.48, 200.47, 691.74, V368 Peg, 22 58 43.52, +11 09 12.3, , , , , ,84,-43, ugsu, , , , 13.3p-<17.7p, ICRS, , 1999-20, 1999-20, , *, Antipin V63, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V368 Peg,
V369 Peg,23 03 41.8138361756,+17 17 55.005185788,V369 Peg,23 03 41.8,+17 17 56, DN, SU, 20.11, 0.082000, 3549.70, 2362.64, 4687.42, V369 Peg, 23 03 41.81, +17 17 55.3, , , , , ,89,-38, ugsu, , , , 15.8B-18.2B, ICRS, , 1999-51, 1984-12, 1993-16S:, *, NSV 26006, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V369 Peg,
V425 Cas,23 03 46.6580438884,+53 17 14.863094817,V425 Cas,23 03 46.6,+53 17 15, NL, VY, 14.57, 0.149600, 909.84, 37.88, 42.56, V425 Cas, 23 03 46.66, +53 17 14.8, , , , , ,107,-6, vy, 0.1496, , , 14.5v-18v, ICRS, , 1995-41, 1980-06, 1985-07S, 1983-25, S 9712, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V425 Cas,
OR And,23 04 37.4245965946,+49 27 23.859316992,OR And,23 04 37.4,+49 27 24, NL, VY, 14.43, 0.135900, 1464.74, 90.01, 100.93, OR And, 23 04 37.42, +49 27 23.9, 0.0037, 0.0058, -0.0055, 0.0057,2000,106,-10, cv/nl:, 0.1359, , , 14.5V-<17B, 2004-105, 2004-105, 1986-03/1990-31, 1986-03, 1986-03S, 2003-84, KPD 2302+4910, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=OR And,
CP Tuc,23 15 19.10,-59 10 28.3,CP Tuc,23 15 19.1,-59 10 28, NL, AM, 19.15, 0.061832, 218.01, 17.57, 21.68, CP Tuc, 23 15 18.99, -59 10 28.9,8,2, -0.04,0,2000,324,-54, am, 0.061832, , , 17.1V- , 2003-115, 2003-115, 1996-16, 1996-16, 1996-16S, 1999-71, Tuc2,  AX J2315-592, , , , , , , , , Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CP Tuc,
CC Scl,23 15 31.8595503456,-30 48 47.671755524,CC Scl,23 15 31.9,-30 48 46, DN, SU, 16.88, 0.058567, 204.87, 10.20, 10.59, CC Scl, 23 15 31.91, -30 48 47.5, -0.0314, 0.0072, -0.0556, 0.0032, 1991.25,17,-69, ugsu, 0.0587, , , 13.4v-17.3v, 2004-109, 2004-109, 2001-09, 2002-118, 2001-56S, 2001-56, 1RXS J231532-304855, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CC Scl,
IP Peg,23 23 08.5362716048,+18 24 59.206210572,IP Peg,23 23 08.6,+18 24 59, DN, UG, 14.71, 0.158206, 141.20, 1.59, 1.63, IP Peg, 23 23 08.53, +18 24 59.2, -0.0665, 0.0093,-32, 0.0103,2000,95,-40, ug, 0.158206, , , 10.5V-17.8V, 2004-105, 2004-105, 1987-20, 1985-10, 1988-06S, 2000-106, SVS 2549, Y, Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=IP Peg,
EG Aqr,23 25 19.1949546968,-08 18 19.113093571,EG Aqr,23 25 19.2,-08 18 19, DN, SU, 18.97, 0.075960, 360.09, 68.44, 103.01, EG Aqr, 23 25 19.20, -08 18 19.2, , , , , ,72,-62, ug, , , , 14.0p-18.5p, ICRS, , 1990-18, 1959-02, 1992-01S, , PHL 505, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EG Aqr,
VY Scl,23 29 00.4711137193,-29 46 45.980626470,VY Scl,23 29 00.5,-29 46 46, NL, VY, 13.37, 0.232300, 646.66, 38.08, 41.97, VY Scl, 23 29 00.48, -29 46 45.9, -0.0131, 0.0032, -0.0007, 0.0023, 1991.25,20,-72, vy, , , , 12.9v-18.5v, 2004-109, 2004-109, 1995-41, 1959-02, 1987-05S, *, GD 1662/PHL 538, Y, Y, , , Y, , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VY Scl,
DX And,23 29 46.6839033611,+43 45 04.034386165,DX And,23 29 46.7,+43 45 04, DN, UG, 14.78, 0.440502, 598.81, 13.42, 15.38, DX And, 23 29 46.68, +43 45 04.1, -0.0139, 0.0054, -0.0108, 0.0054,2000,108,-16, ug, 0.440502, , , 10.9p-16.4p, 2004-105, 2004-105, 1987-04, 1987-04, 1989-06S, 1997-46, GR 17, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=DX And,
EI Psc,23 29 54.2149131154,+06 28 11.597690024,EI Psc,23 29 54.3,+06 28 11, DN, SU, 15.91, 0.044567, 152.75, 2.61, 2.62, EI Psc, 23 29 54.21, +06 28 11.6,-46,5,28,1,2000,90,-51, ugsu, 0.044567, , , 12.7B-16.6B, 2003-115, 2003-115, 2001-76, A9999-99, 2002-35S, 2002-35, 1RXS J2329+0628, , Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EI Psc,
V378 Peg,23 40 04.2918025466,+30 17 47.379574199,V378 Peg,23 40 04.3,+30 17 47, NL, NS, 13.88, 0.138580, 945.77, 46.41, 52.28, V378 Peg, 23 40 04.29, +30 17 47.4,-7, 0.0052, -0.0034, 0.0052,2000,105,-30, cv, , , , 14.4p- , 2004-105, 2004-105, 1997-09, 1986-06, 1997-09S, , PG 2337+300, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V378 Peg,
HX Peg,23 40 23.6982622737,+12 37 41.710323288,HX Peg,23 40 23.7,+12 37 42, DN, ZC, 14.74, 0.200800, 583.30, 29.11, 32.25, HX Peg, 23 40 23.70, +12 37 41.7, -0.0131, 0.0027, 0.0066, 0.0024,2000,97,-47, ugz, 0.2008, , , 12.9V-16.6V, 2004-105, 2004-105, 2001-118, 1976-06, 1994-07S, 1994-48, PG 2337+123, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HX Peg,
V705 Cas,23 41 47.19,+57 30 59.5,V705 Cas,23 41 47.3,+57 31 00, Na,   , 17.03, 0.228000, 2267.34, 543.59, 1012.73, V705 Cas, 23 41 47.20, +57 30 59.8, 0.0017,5, -0.0075,5,2000,114,-4, na, , 1993.93, , 6.4v-18b, 2004-106, 2004-106, 1993-15, 1994-44*, 1993-15X:, *, , Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V705 Cas,
V630 Cas,23 48 51.9181789921,+51 27 39.166360796,V630 Cas,23 48 51.9,+51 27 39, DN,   , 16.13, 2.563870, 3682.09, 861.86, 1611.33, V630 Cas, 23 48 51.91, +51 27 39.4,-6,1,0,1,2000,113,-10, ug:, 2.56387, 1950., , 12.3p-17.1p, 2003-115, 2003-115, 1987-08, 1987-08, 1992-01S, 2001-41, OV 29, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V630 Cas,
VZ Scl,23 50 09.2550905092,-26 22 52.701879982,VZ Scl,23 50 09.2,-26 22 53, NL, VY, 15.47, 0.144622, 562.07, 29.00, 32.66, VZ Scl, 23 50 09.24, -26 22 52.7,25, 0.0038, -0.0012, 0.0013, 1991.25,33,-74, vy, 0.144622, , , 15.6V-18.1V, 2004-109, 2004-109, 1995-41, 1958-01, 1987-13S, 1975-07, Ton S 120, Y, Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VZ Scl,
BW Scl,23 53 00.8739237163,-38 51 46.659560093,BW Scl,23 53 00.7,-38 51 46, DN, SU, 16.26, 0.054323, 94.40, 1.37, 1.48, BW Scl, 23 53 00.82, -38 51 46.0, 0.0857, 0.0031, -0.0612, 0.0031, 1991.25,345,-74, ugwz/dq, 0.054323, , , 16.5V- , 2004-109, 2004-109, 1997-02, 1997-02, 1997-02S, 1997-34, RX J2353.0-3852, , Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=BW Scl,
V731 Cas,23 57 00.28,+56 45 08.3,V731 Cas,23 57 00.3,+56 45 08, NL,   , 18.76, 0.780600, 4597.23, 2200.56, 4418.99, V731 Cas, 23 57 00.17, +56 45 08.8,-8,0,14,3,2000,115,-5, cv:, 0.7806, , O, 19.1V-19.5V, 2003-115, 2003-115, 1999-61 , 1999-61, , 1999-61, NGC 7789 V9, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V731 Cas,
J0006-6900,00 06 33.4,-69 00 33,J0006-6900,00 06 33.4,-69 00 34, NL, AM, 16.13, 0.079089, 113.21, 1.78, 1.81, Tuc, 00 06 33.4, -69 00 33, , , , , ,309,-48, cv,72, , , -, 2005-10, , 2005-10, , , 2005-10, CTCV J0006-6900, , , , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 06 ++-69 00 &CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V479 And,00 18 56.9330180725,+34 54 44.233190974,V479 And,00 18 56.9,+34 54 44, NL, AM, 17.12, 0.594093, 2625.33, 726.39, 1419.23, And, 00 18 56.93, +34 54 44.3, , , , , ,115,-27, nl, , , , 17.8s-, 2005-32, , 2005-32, A9999-99, 2005-32S, , SDSS J001856+345444, , , , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 18 56.93+++34 54 44.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V1033 Cas,00 22 57.6446745715,+61 41 07.570544184,V1033 Cas,00 22 57.6,+61 41 08, NL, IP, 16.63, 0.168000, 1588.60, 199.22, 265.01, Cas, 00 22 57.63, +61 41 07.8, , , , , ,120,-1, cv, , , , 18.0B-, 2006-20, , 2006-20, 2006-20, 2006-20S, , IGR J00234+6141, , , , , , , Y, , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 22 57.63+++61 41 07.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NGC 104-CV1,00 24 04.3,-72 04 58,NGC 104-CV1,00 24 04.3,-72 04 58, NL, IP,  nan, 0.150000, nan, nan, nan, Tuc, 00 24 03.07, -72 04 47.5, , , , , ,306,-45, cv, , , G, 23.4w-, 2003-78, , 2003-78, A9999-99*, , , NGC 104-W49, , Y, , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.07++-72 04 47.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
AKO 9,00 24 04.8,-72 04 55,AKO 9,00 24 04.8,-72 04 55, DN,   , 11.37, 1.109099, 3561.15, 1049.66, 2182.86, Tuc, 00 24 03.66, -72 05 04.5, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.66++-72 05 04.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NGC 104-W34,00 24 05.1,-72 04 47,NGC 104-W34,00 24 05.1,-72 04 47, CV,   , 11.65, 0.067670, 2021.50, 546.93, 1007.06, Tuc, 00 24 03.98, -72 04 57.9, , , , , ,306,-45, cv, , , G, 19.9V-, 2003-78, , 2003-78, 2003-78, , *, NGC 104-W42, , Y, , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 03.98++-72 04 57.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NGC 104-CV3,00 24 06.2,-72 04 43,NGC 104-CV3,00 24 06.2,-72 04 43, NL, AM, 11.06, 0.194490, -9.96, 0.01, 0.01, Tuc, 00 24 04.94, -72 04 46.6, , , , , ,306,-45, cv, 0.06767, , G, 22.8V-, 2003-78, , 2003-78*, 2003-78, , 2003-78, NGC 104-W34, , Y, , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 04.94++-72 04 46.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NGC 104-W21,00 24 07.6,-72 05 27,NGC 104-W21,00 24 07.6,-72 05 27, CV,   , 11.68, 0.072230, 5917.91, 2362.66, 4359.35, Tuc, 00 24 06.80, -72 05 10.2, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0,, http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.80++-72 05 10.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
