RX And,  01 04 35.6,  +41 17 58,  RX And,  01 04 35.54,  +41 17 57.8
V4745 Sgr,  18 40 02.6,  -33 26 56,  V4745 Sgr,  18 40 02.55,  -33 26 55.6
TW Tri,  01 36 37.0,  +32 00 40,  TW Tri,  01 36 37.01,  +32 00 40.0
V617 Sgr,  18 07 50.9,  -35 10 25,  V617 Sgr,  18 07 50.89,  -35 10 24.9
V3885 Sgr,  19 47 40.5,  -42 00 26,  V3885 Sgr,  19 47 40.53,  -42 00 26.4
V446 Her,  18 57 21.6,  +13 14 29,  V446 Her,  18 57 21.61,  +13 14 28.4
V825 Her,  17 18 37.0,  +41 15 51,  V825 Her,  17 18 37.00,  +41 15 51.2
T  Aur,  05 31 59.1,  +30 26 45,  T Aur,  05 31 59.12,  +30 26 45.1
FO Aqr,  22 17 55.4,  -08 21 05,  FO Aqr,  22 17 55.39,  -08 21 03.8
AT Cnc,  08 28 36.9,  +25 20 03,  AT Cnc,  08 28 36.92,  +25 20 03.0
HX Peg,  23 40 23.7,  +12 37 42,  HX Peg,  23 40 23.70,  +12 37 41.7
CZ Aql,  19 19 58.2,  -07 10 55,  CZ Aql,  19 19 58.20,  -07 10 55.3
V895 Cen,  14 29 27.2,  -38 04 10,  V895 Cen,  14 29 27.22,  -38 04 09.5
V345 Pav,  19 35 43.0,  -59 08 22,  V345 Pav,  19 35 42.90,  -59 08 22.4
UX UMa,  13 36 41.0,  +51 54 50,  UX UMa,  13 36 40.96,  +51 54 49.5
V433 Ara,  17 00 06.1,  -57 51 52,  V433 Ara,  17 00 06.06,  -57 51 52.1
V363 Lyr,  19 08 51.6,  +43 00 32,  V363 Lyr,  19 08 51.59,  +43 00 31.6
CT Ser,  15 45 39.1,  +14 22 33,  CT Ser,  15 45 39.07,  +14 22 32.1
IX Vel,  08 15 18.9,  -49 13 18,  IX Vel,  08 15 18.99,  -49 13 19.8
DQ Her,  18 07 30.4,  +45 51 32,  DQ Her,  18 07 30.26,  +45 51 32.1
AI Tri,  02 03 48.6,  +29 59 26,  AI Tri,  02 03 48.60,  +29 59 26.0
V825 Sco,  17 49 53.8,  -33 32 13,  V825 Sco,  17 49 53.65,  -33 32 13.7
BI Ori,  05 23 51.8,  +01 00 30,  BI Ori,  05 23 51.77,  +01 00 30.8
CG Dra,  19 07 32.8,  +52 58 29,  CG Dra,  19 07 32.78,  +52 58 28.9
V697 Sco,  17 51 21.8,  -37 24 55,  V697 Sco,  17 51 21.83,  -37 24 55.2
HH Cnc,  09 16 50.7,  +28 49 43,  HH Cnc,  09 16 50.78,  +28 49 43.7
SS Aur,  06 13 22.4,  +47 44 26,  SS Aur,  06 13 22.43,  +47 44 25.3
TW Vir,  11 45 21.1,  -04 26 06,  TW Vir,  11 45 21.16,  -04 26 05.8
V542 Cyg,  19 49 10.5,  +58 31 59,  V542 Cyg,  19 49 10.49,  +58 31 59.0
V795 Cyg,  19 34 34.1,  +31 32 12,  V795 Cyg,  19 34 34.09,  +31 32 11.9
V2306 Cyg,  19 58 14.5,  +32 32 42,  V2306 Cyg,  19 58 14.48,  +32 32 42.2
GI Mon,  07 26 47.1,  -06 40 30,  GI Mon,  07 26 47.10,  -06 40 29.5
BD Pav,  18 43 11.9,  -57 30 44,  BD Pav,  18 43 11.90,  -57 30 44.9
V400 Per,  03 07 38.3,  +47 07 40,  V400 Per,  03 07 38.24,  +47 07 40.0
U  Gem,  07 55 05.3,  +22 00 06,  U Gem,  07 55 05.23,  +22 00 05.1
ES Dra,  15 25 31.8,  +62 01 00,  ES Dra,  15 25 31.79,  +62 01 00.2
CW Mon,  06 36 54.5,  +00 02 16,  CW Mon,  06 36 54.58,  +00 02 17.2
UZ Ser,  18 11 24.9,  -14 55 34,  UZ Ser,  18 11 24.86,  -14 55 34.1
WW Cet,  00 11 24.8,  -11 28 43,  WW Cet,  00 11 24.77,  -11 28 43.2
V504 Cen,  14 12 49.1,  -40 21 37,  V504 Cen,  14 12 49.10,  -40 21 36.8
GY Cnc,  09 09 50.6,  +18 49 47,  GY Cnc,  09 09 50.54,  +18 49 47.5
V436 Car,  07 44 57.9,  -52 57 13,  V436 Car,  07 44 57.99,  -52 57 11.7
LS Peg,  21 51 57.9,  +14 06 54,  LS Peg,  21 51 57.93,  +14 06 53.3
V1043 Cen,  13 13 17.1,  -32 59 12,  V1043 Cen,  13 13 17.14,  -32 59 12.2
