GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
EF Tuc,  00 06,  -67 07 43.3,  0.0128,  0.0058,  -0.0047,  0.0058,  2000,  310,  -49,  ug,  145,  ,  ,  12.4I-14.6I,  2004-105,  2004-105,  2002-120,  A9999-99,  2001-56S,  2003-87,  1RXS J0001-6707,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Tuc,  00 24 06.59,  -72 04 52.0,  ,  ,  ,  ,  ,  306,  -45,  cv,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 PC1-V36,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.62,  -72 05 04.1,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.80,  -72 04 56.1,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.86,  -72 05 10.2,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 06.89,  -72 05 45.7,  ,  ,  ,  ,  ,  306,  -45,  cv,  ,  ,  G,  21.3V-,  2003-78,  ,  2003-78,  2003-78,  ,  ,  NGC 104-W25,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 07.92,  -72 05 27.2,  ,  ,  ,  ,  ,  306,  -45,  cv,  0.07223,  ,  G,  20.9V-,  2003-78,  ,  2003-78,  2003-78,  ,  2003-78,  NGC 104-W21,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 08.28,  -72 05 00.2,  ,  ,  ,  ,  ,  306,  -45,  cv,  0.1764,  ,  G,  22.5V-,  2003-78,  ,  2003-78,  2003-78,  ,  2003-78,  NGC 104-W15,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 08.43,  -72 04 35.7,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2005-25,  ,  2005-25*,  ,  ,  ,  NGC 104-W16,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 08.49,  -72 05 06.4,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 08.63,  -72 04 59.9,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 08.64,  -72 04 58.9,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 08.86,  -72 05 06.5,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 09.08,  -72 05 01.6,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  -,  2002-57*,  ,  2002-57,  2002-57,  ,  ,  NGC 104 CV,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 10.03,  -72 05 43.9,  ,  ,  ,  ,  ,  306,  -45,  cv:,  ,  ,  G,  21.6w-,  2003-78,  ,  2003-78,  A9999-99*,  ,  ,  NGC 104-W140,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
