Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
J1532-2833, 15 32 00.4, -28 33 57, DN, ZZ, 18.56, 0.056630, 308.31, 35.07, 46.76
J1751-2942, 17 51 47.4, -29 42 15, DN, SU, 19.73, 0.056630, 1596.38, 1146.29, 4361.38
J0902+0525, 09 02 39.7, +05 25 01, DN, SU, 17.53, 0.056540, 153.89, 4.98, 5.33
V466 And, 02 00 25.4, +44 10 19, DN, SU, 20.75, 0.056500, 114.10, 29.35, 61.72
J0309+2638, 03 09 29.8, +26 38 04, DN, SU, 15.53, 0.056200, 164.36, 1.91, 2.04
J0057+4431, 00 57 41.0, +44 31 02, DN, SU, 18.65, 0.056200, 249.77, 25.92, 31.07
J0132-1043, 01 32 02.7, -10 43 57, DN, SU, 19.23, 0.056000, -70.99, 0.01, 0.01
J0206+2057, 02 06 33.4, +20 57 08, DN, SU, 20.53, 0.056000, 3146.71, 2284.19, 4913.95
J0558+3915, 05 58 45.5, +39 15 33, DN, SU, 18.25, 0.056000, 516.49, 83.42, 125.70
J0611+4041, 06 11 28.0, +40 41 09, DN, SU, 18.75, 0.056000, 592.46, 116.63, 191.63
J0619+1926, 06 19 59.9, +19 26 59, DN, SU,  nan, 0.056000, nan, nan, nan
J1105-4257, 11 05 49.4, -42 57 30, DN, SU,  nan, 0.056000, nan, nan, nan
J2051-0358, 20 51 46.2, -03 58 27, DN, SU,  nan, 0.056000, nan, nan, nan
J2247+2504, 22 47 36.4, +25 04 36, DN, SU, 20.23, 0.056000, 3714.61, 2524.44, 4961.96
J2351-3027, 23 51 23.9, -30 27 25, DN, SU,  nan, 0.056000, nan, nan, nan
J0947+0610, 09 47 59.8, +06 10 44, DN, SU, 17.72, 0.055900, 169.50, 7.15, 7.67
J1212+0416, 12 12 40.4, +04 16 56, DN, SU,  nan, 0.055700, nan, nan, nan
J0613+3957, 06 13 35.3, +39 57 15, NL, AM, 15.84, 0.055600, 323.42, 5.44, 5.64
V500 And, 00 42 26.5, +42 15 37, DN, SU,  nan, 0.055600, nan, nan, nan
IK Leo, 10 21 46.4, +23 49 26, DN, SU,  nan, 0.055500, nan, nan, nan
J1731+2754, 17 31 25.4, +27 54 29, NL, AM, 18.22, 0.055471, 265.98, 19.46, 22.24
J0606-6039, 06 06 02.6, -60 39 03, DN, SU, 20.38, 0.055400, 2911.06, 1982.27, 4762.25
J0011+0451, 00 11 33.7, +04 51 23, DN, SU, 18.37, 0.055351, 284.34, 28.70, 33.65
J0019+4339, 00 19 52.2, +43 39 01, N?, DN,  nan, 0.055000, nan, nan, nan
J0447-3656, 04 47 23.3, -36 56 02, DN, SU,  nan, 0.055000, nan, nan, nan
J0514+6711, 05 14 15.6, +67 11 20, DN, SU,  nan, 0.055000, nan, nan, nan
J0656+7444, 06 56 08.3, +74 44 55, DN, SU,  nan, 0.055000, nan, nan, nan
J0858-2740, 08 58 54.2, -27 40 31, DN, SU,  nan, 0.055000, nan, nan, nan
J1100-1156, 11 00 38.1, -11 56 47, DN, SU, 19.09, 0.055000, 552.03, 132.82, 287.52
J1800+5256, 18 00 05.9, +52 56 33, DN, SU,  nan, 0.055000, nan, nan, nan
J1845+4831, 18 45 42.6, +48 31 31, DN, SU, 20.92, 0.055000, -6.55, 0.02, 0.02
J1751-2938, 17 51 18.8, -29 38 11, DN, SU,  nan, 0.054870, nan, nan, nan
J2305-0225, 23 05 23.3, -02 25 49, DN, SU, 17.49, 0.054643, 293.88, 13.03, 14.45
J2138+2619, 21 38 06.6, +26 19 57, DN, SU, 17.75, 0.054570, 693.41, 57.37, 66.15
J1853+4203, 18 53 28.8, +42 03 44, DN, SU, 16.26, 0.054323, 94.40, 1.37, 1.48
J1433+1011, 14 33 17.8, +10 11 23, DN, SU, 18.70, 0.054300, 288.46, 22.85, 28.00
J1126+0846, 11 26 19.4, +08 46 51, DN,   , 18.59, 0.054241, 226.52, 15.69, 19.91
J0221+7322, 02 21 02.8, +73 22 45, NL, AM, 20.19, 0.054049, 2556.64, 1809.08, 4583.11
J0413+0945, 04 13 50.0, +09 45 15, DN, SU, 19.90, 0.054000, 382.31, 82.08, 154.88
J0500-3207, 05 00 30.0, -32 07 36, DN, SU,  nan, 0.054000, nan, nan, nan
J1435+2336, 14 35 44.0, +23 36 39, DN, SU,  nan, 0.054000, nan, nan, nan
J1605+2405, 16 05 48.0, +24 05 31, DN, SU, 16.49, 0.053320, 112.75, 1.67, 1.77
J2141+0507, 21 41 40.4, +05 07 30, DN, SU, 19.26, 0.053000, 404.32, 66.49, 97.78
PHL 1445, 02 42 42.9, -11 46 45, DN,   , 19.06, 0.053000, 267.05, 47.23, 75.51
J0557+6832, 05 57 18.5, +68 32 27, DN, BD, 17.52, 0.052985, 245.80, 12.06, 14.22
J1944+4912, 19 44 19.3, +49 12 57, DN, SU, 18.29, 0.052900, 710.92, 114.80, 163.74
CT Tri, 02 38 39.1, +35 56 49, DN, SU, 20.53, 0.052816, 3617.25, 2367.57, 4649.62
V1265 Tau, 03 29 12.3, +12 50 18, DN, SU,  nan, 0.052810, nan, nan, nan
J2327+0855, 23 27 27.2, +08 55 39, DN, SU,  nan, 0.052800, nan, nan, nan
J0811-1227, 08 11 50.6, -12 27 51, DN, SU,  nan, 0.052770, nan, nan, nan
J1122-1110, 11 22 53.3, -11 10 38, DN, ZZ, 18.23, 0.046258, 212.21, 10.08, 10.91
J1740+4147, 17 40 33.5, +41 47 56, AC, NL,  nan, 0.045190, nan, nan, nan
J2333-1557, 23 33 13.0, -15 57 44, DN, SU, 20.19, 0.044000, 3654.71, 2284.34, 4594.93
J1137+4054, 11 37 32.3, +40 54 58, DN, SU, 19.83, 0.042830, 3968.61, 2438.79, 4962.06
J1940+4632, 19 40 16.2, +46 32 48, DN, SU, 17.81, 0.040995, 334.01, 47.10, 64.40
1108+5728, 11 11 26.8, +57 12 39, AC, NL, 20.52, 0.039078, 692.65, 323.24, 2805.50
J1642+1934, 16 42 28.1, +19 34 10, DN, SU, 18.93, 0.038449, 590.22, 63.23, 91.02
J1208+3550, 12 08 42.0, +35 50 25, AC, NL, 20.40, 0.038000, 3625.90, 2367.67, 5115.99
J1028-0819, 10 28 42.9, -08 19 27, AC, NL, 18.87, 0.036800, 206.60, 25.86, 33.52
J1505+0659, 15 05 51.6, +06 59 49, DN, SU, 19.36, 0.036200, 829.10, 243.49, 694.98
J1611+6308, 16 11 34.0, +63 08 32, AC, NL, 19.12, 0.035000, 162.21, 17.45, 22.85
J0902+3819, 09 02 21.4, +38 19 42, NL, AM, 17.39, 0.033600, 324.79, 20.11, 22.48
J0450-0931, 04 50 19.8, -09 31 13, AC, DN, 20.16, 0.033550, 2007.25, 1533.33, 4612.33
J0437+3702, 04 37 58.8, +37 02 59, AC, NL,  nan, 0.032339, nan, nan, nan
J2348+2502, 23 48 43.2, +25 02 50, AC, NL, 19.59, 0.032000, 451.04, 85.28, 139.89
J0804+1616, 08 04 49.5, +16 16 25, AC, DN, 20.20, 0.032000, 1507.11, 1123.43, 4813.49
J1525+3600, 15 25 09.6, +36 00 55, AC, NL, 18.36, 0.030900, 934.90, 234.88, 533.73
J0713+2055, 07 13 27.3, +20 55 54, AC, NL, 19.67, 0.030800, 567.19, 118.15, 214.57
J0255-4750, 02 55 33.3, -47 50 42, AC, DN, 18.01, 0.028139, 247.04, 11.61, 12.66
J1721+2733, 17 21 02.5, +27 33 01, AC, DN, 16.40, 0.027808, 255.14, 5.38, 5.53
J1730+5545, 17 30 47.6, +55 45 19, AC, DN, 20.47, 0.025390, 3386.86, 2443.71, 4992.01
J0435+0029, 04 35 17.7, +00 29 41, AC, DN, 20.09, 0.024400, 1885.33, 1036.24, 4053.79
J0943+1029, 09 43 29.6, +10 29 58, AC, DN, 20.29, 0.023470, 2513.27, 1913.13, 4814.73
J1538-3035, 15 38 38.2, -30 35 49, AC, DN,  nan, 0.021000, nan, nan, nan
J0208+3732, 02 08 04.2, +37 32 17, AC, DN, 19.30, 0.019661, 1204.21, 692.39, 4066.97
J0719+4858, 07 19 12.1, +48 58 35, AC, DN, 17.82, 0.019300, 453.55, 48.43, 60.44
J2139-5959, 21 39 48.2, -59 59 32, AC, DN,  nan, 0.017029, nan, nan, nan
J1919+4815, 19 19 05.2, +48 15 06, AC, DN, 16.69, 0.016000, 1065.46, 159.21, 212.59
J1908+3940, 19 08 17.1, +39 40 36, AC, NL, 14.08, 0.011907, 298.60, 6.65, 6.63
J0043+4117, 00 43 19.8, +41 17 58, AC, NL,  nan, 0.003721, nan, nan, nan
J0614+1704, 06 14 12.3, +17 04 33, NL, IP, 19.33, 0.000000, 1343.91, 977.87, 4597.41
J1740-3014, 17 40 35.6, -30 14 16, NL, IP, 17.13, 0.000000, 1762.77, 399.87, 708.29
J1748-2807, 17 48 16.9, -28 07 50, NL, IP,  nan, 0.000000, nan, nan, nan
J1803-3000, 18 03 54.5, -30 00 06, NL, IP, 19.01, 0.000000, 3506.47, 1932.61, 4832.08
J1804-2739, 18 04 30.4, -27 39 32, NL, IP,  nan, 0.000000, nan, nan, nan
J1804-1456, 18 04 38.9, -14 56 47, NL, IP, 17.06, 0.000000, 3687.51, 1629.18, 3833.39
J2138+5544, 21 38 50.0, +55 44 05, NL, IP, 19.19, 0.000000, 3899.69, 2173.11, 4414.71
J2224+17, 22 24 00.0, +17 00 00, NL, IP, 18.11, 0.000000, 4276.06, 1870.61, 3856.23
