Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
J1754-3526, 17 54 16.2, -35 26 40, DN, SU, 20.27, 0.071960, -1.00, 0.02, 0.01
NN Cam, 04 12 36.9, +69 29 06, DN, SU, 18.09, 0.071931, 267.71, 18.08, 21.30
DN Dra, 18 42 28.1, +48 37 42, DN, SU, 18.16, 0.071700, 388.15, 33.09, 37.95
J0150+3756, 01 50 16.2, +37 56 19, DN, SU, 17.98, 0.071610, 616.26, 82.28, 116.18
NSV 1436, 04 02 39.0, +42 50 45, DN, SU, 19.84, 0.071000, 2884.61, 1798.63, 4522.47
J0115+2455, 01 15 16.5, +24 55 30, DN, SU, 17.06, 0.071000, 251.51, 7.65, 8.03
J0150+3326, 01 50 51.5, +33 26 22, DN, SU, 19.86, 0.071000, 2715.20, 1812.63, 4642.86
J0512+4505, 05 12 34.6, +45 05 12, DN, SU, 17.79, 0.071000, 679.10, 103.28, 151.94
J1600+7050, 16 00 20.6, +70 50 07, DN, SU, 18.98, 0.071000, 2076.59, 1207.01, 4053.49
J1723+1757, 17 23 06.3, +17 57 56, DN, SU, 18.52, 0.071000, 586.23, 96.59, 150.30
J2159-3529, 21 59 06.9, -35 29 57, DN, SU, 20.65, 0.071000, 3435.10, 2414.40, 5189.61
J2305+6521, 23 05 38.4, +65 21 59, DN, SU,  nan, 0.071000, nan, nan, nan
J0221-2619, 02 21 37.9, -26 19 52, NL, AM, 16.66, 0.070498, 112.59, 4.32, 4.51
J1443-1755, 14 43 41.9, -17 55 49, DN, SU, 18.33, 0.070300, 866.17, 218.00, 424.49
J0345-0152, 03 45 15.4, -01 52 16, DN, SU, 19.61, 0.070200, 902.35, 377.34, 2389.57
V2779 Oph, 18 08 35.8, +10 10 30, NL, AM, 18.21, 0.070162, 3381.49, 1819.78, 4197.16
M31 2006-04a, 00 43 13.4, +41 16 59, DN, SU, 18.32, 0.070000, 331.84, 29.77, 37.14
J0015+2636, 00 15 38.2, +26 36 57, N , SS,  nan, 0.070000, nan, nan, nan
J0042-5609, 00 42 14.2, -56 09 20, DN, SU, 17.63, 0.070000, 643.85, 112.00, 166.27
J0213+4606, 02 13 17.2, +46 06 43, DN, SU, 17.64, 0.070000, 631.79, 65.84, 84.04
J0316+1758, 03 16 00.1, +17 58 24, DN, SU, 19.29, 0.070000, 3530.75, 2411.68, 4868.14
J0513-2619, 05 13 06.6, -26 19 52, DN, SU,  nan, 0.070000, nan, nan, nan
J0754+3812, 07 54 18.7, +38 12 25, DN, SU, 19.66, 0.070000, 485.03, 145.08, 449.73
J1057-2156, 10 57 49.8, -21 56 58, DN, SU,  nan, 0.070000, nan, nan, nan
J1927-4847, 19 27 10.1, -48 47 52, DN,   , 17.96, 0.070000, 682.90, 99.67, 138.62
J1959-1833, 19 59 18.0, -18 33 31, DN, SU, 19.40, 0.070000, 615.03, 217.69, 902.12
J2027-2240, 20 27 31.2, -22 40 01, DN, SU,  nan, 0.070000, nan, nan, nan
J2349-6054, 23 49 55.1, -60 54 17, DN, SU, 17.89, 0.070000, 344.19, 29.22, 35.67
J1914+6052, 19 14 43.5, +60 52 14, DN, SU, 14.78, 0.069500, 529.61, 21.16, 23.05
J0943-2720, 09 43 27.3, -27 20 30, DN, UG, 19.04, 0.069000, 2851.40, 1599.25, 4217.73
J1120+6636, 11 20 03.4, +66 36 32, DN, SU,  nan, 0.069000, nan, nan, nan
J1329-3658, 13 29 00.9, -36 58 59, DN, SU,  nan, 0.069000, nan, nan, nan
J1344+2044, 13 44 41.8, +20 44 08, DN, SU,  nan, 0.069000, nan, nan, nan
J1354+2736, 13 54 18.8, +27 36 03, NL, AM, 18.29, 0.069000, 620.03, 105.25, 148.08
J1359-3752, 13 59 17.5, -37 52 42, DN, SU,  nan, 0.069000, nan, nan, nan
J1554+3650, 15 54 30.6, +36 50 42, DN, SU, 19.18, 0.069000, 3027.96, 1970.24, 4689.45
J2149-1219, 21 49 34.2, -12 19 08, DN, SU, 19.72, 0.069000, 1571.60, 990.17, 4101.48
J2206+3014, 22 06 41.1, +30 14 36, DN, SU,  nan, 0.069000, nan, nan, nan
J2313+2337, 23 13 08.1, +23 37 02, DN, SU,  nan, 0.069000, nan, nan, nan
J1509+4650, 15 09 03.7, +46 50 57, NL,   ,  nan, 0.068500, nan, nan, nan
J1715+6856, 17 15 41.8, +68 56 43, DN, SU, 16.87, 0.068330, 261.67, 10.78, 11.61
V458 Vul, 19 54 24.6, +20 52 52, CV, GC,  nan, 0.068170, nan, nan, nan
J0446-7122, 04 46 50.0, -71 22 56, Na,   , 18.10, 0.068126, 4838.73, 2153.48, 4564.84
J2243+0809, 22 43 48.5, +08 09 27, DN, SU, 18.67, 0.068106, 349.77, 33.28, 42.35
J0558+0006, 05 58 42.8, +00 06 26, DN, SU, 18.74, 0.068100, 427.31, 82.60, 134.42
J0632-5638, 06 32 27.7, -56 38 53, DN, SU, 16.82, 0.068000, 371.12, 23.85, 28.10
J1117+7651, 11 17 59.7, +76 51 31, DN, SU, 19.56, 0.068000, 683.64, 186.47, 457.20
J1612-1509, 16 12 21.3, -15 09 39, DN, SU,  nan, 0.068000, nan, nan, nan
J1810-5349, 18 10 33.8, -53 49 46, DN, SU,  nan, 0.068000, nan, nan, nan
J1653-4144, 16 53 34.4, -41 44 23, CV,   , 11.65, 0.067670, 2021.50, 546.93, 1007.06
J1152+4049, 11 52 07.0, +40 49 48, NL, AM,  nan, 0.067650, nan, nan, nan
J0506+3547, 05 06 17.4, +35 47 39, DN, SU, 20.65, 0.067500, 2638.02, 2087.80, 4533.61
J2154+1557, 21 54 27.2, +15 57 13, DN, SU, 20.57, 0.067300, 3557.27, 2483.26, 4808.91
V1324 Sco, 17 50 53.9, -32 37 20, DN, SU,  nan, 0.067000, nan, nan, nan
J1026+4754, 10 26 37.0, +47 54 27, Nb,   ,  nan, 0.067000, nan, nan, nan
J1409-2917, 14 09 32.1, -26 17 04, DN, SU, 18.20, 0.067000, 718.84, 114.79, 174.46
J1628+0653, 16 28 06.2, +06 53 15, DN, SU,  nan, 0.067000, nan, nan, nan
J1925+6851, 19 25 14.5, +68 51 22, DN, SU, 20.60, 0.067000, 3255.26, 2302.34, 4655.35
J2035+0920, 20 35 09.8, +09 20 47, DN, SU, 18.77, 0.067000, 448.98, 58.66, 74.56
J2253+3330, 22 53 50.5, +33 30 33, DN, SU, 19.64, 0.067000, 3960.35, 2353.99, 4843.71
J0950-0639, 09 50 18.1, -06 39 22, NL, AM, 17.97, 0.066855, 273.50, 15.48, 17.72
J0333+3320, 03 33 52.8, +33 20 45, DN, NS, 18.81, 0.066800, 385.68, 34.50, 42.09
J2158+2419, 21 58 18.5, +24 19 24, NL, LI, 20.16, 0.066280, 2467.26, 1750.70, 4656.60
J0431-0314, 04 31 12.4, -03 14 52, DN, SU, 20.11, 0.066070, 1070.53, 666.19, 4511.21
J0416+2928, 04 16 36.9, +29 28 06, DN, SU, 20.16, 0.066000, 3513.22, 2248.01, 4620.41
J0443-2108, 04 43 45.4, -21 08 34, DN, SU,  nan, 0.066000, nan, nan, nan
J0553-4806, 05 53 30.4, -48 06 23, DN, SU,  nan, 0.066000, nan, nan, nan
J0647+4915, 06 47 25.7, +49 15 43, DN, SU,  nan, 0.066000, nan, nan, nan
J0746-0746, 07 46 35.1, -07 46 33, DN, SU, 17.37, 0.066000, 269.67, 16.75, 19.17
J1015+8124, 10 15 10.8, +81 24 19, DN, SU, 18.65, 0.066000, 1186.09, 421.29, 1341.93
J1436-3604, 14 36 15.5, -36 04 17, DN, SU, 18.68, 0.066000, 497.90, 100.43, 173.08
J1642-2313, 16 42 13.2, -23 13 13, DN, SU,  nan, 0.066000, nan, nan, nan
J2218+6542, 22 18 11.0, +65 42 20, DN, SU, 17.44, 0.066000, 391.16, 35.39, 42.35
J2304+0625, 23 04 25.9, +06 25 46, DN, SU, 19.61, 0.066000, 395.73, 74.81, 128.76
J0116+0922, 01 16 13.8, +09 22 16, DN, SU,  nan, 0.066000, nan, nan, nan
V2362 Cyg, 21 11 32.3, +44 48 04, DN, SU, 18.32, 0.065800, 389.55, 50.86, 70.53
J0945-1944, 09 45 51.0, -19 44 01, Na,   , 20.07, 0.065770, -0.86, 0.01, 0.01
J1725-6438, 17 25 54.8, -64 38 39, DN, SU, 16.85, 0.065769, 183.16, 6.05, 6.73
J0426+3541, 04 26 09.3, +35 41 45, DN,   , 19.49, 0.065550, 799.30, 341.77, 2333.81
J0438+0040, 04 38 29.1, +00 40 17, DN, SU, 16.21, 0.065502, 187.77, 3.86, 4.42
J1524+2209, 15 24 19.3, +22 09 20, DN, SU, 20.58, 0.065350, 3583.89, 2349.25, 4826.18
J0912-0349, 09 12 46.0, -03 49 16, DN, SU, 20.19, 0.065300, 3262.50, 2281.61, 4660.95
J0411-0907, 04 11 33.6, -09 07 29, DN, SU, 20.01, 0.065000, 2356.41, 1700.73, 4821.68
J0648+4147, 06 48 04.5, +41 47 02, DN, SU, 18.99, 0.065000, 1201.57, 465.80, 1629.95
J1055+5731, 10 55 45.2, +57 31 10, DN, SU,  nan, 0.065000, nan, nan, nan
J1259+2426, 12 59 05.8, +24 26 33, DN, SU,  nan, 0.065000, nan, nan, nan
J1743+2311, 17 43 05.7, +23 11 08, DN, SU,  nan, 0.065000, nan, nan, nan
J1752+5001, 17 52 19.1, +50 01 16, DN, SU, 20.18, 0.065000, 3749.13, 2224.89, 4642.81
J2319+3647, 23 19 36.1, +36 47 00, DN, SU,  nan, 0.065000, nan, nan, nan
J0232-3717, 02 32 38.0, -37 17 55, DN, SU, 17.93, 0.064900, 252.03, 13.09, 15.61
HW Boo, 13 43 23.2, +15 09 17, NL, AM, 17.34, 0.064455, 285.98, 13.86, 15.56
J0935+1619, 09 35 37.5, +16 19 51, DN,   , 17.56, 0.064350, 402.82, 38.50, 50.45
J0127-5817, 01 27 54.5, -58 17 17, CV, NL, 18.75, 0.064059, 3290.98, 1905.25, 4076.39
