Name_RK	RAJ2000_RK	DEJ2000_RK	Type1_RK	Type2_RK	mag1_RK	Orb.Per	Distance_RK	5%_RK	95%_RK  	Name_DS	RAJ2000_DS	DEJ2000_DS	PM-RA_DS	PM-RAerr_DS	PM-Dec_DS	PM-Decerr_DS	Epoch_DS	l_DS	b_DS	Type_DS	Period_DS	Outburst_DS	Cluster_DS	Mag. Range_DS	Coord-Ref_DS	PM-Ref_DS	Type-Ref_DS	Chart-Ref_DS	Spect-Ref_DS	Period-Ref_DS	Other-Name_DS	IUE_DS	HST_DS	ARIEL5_DS	HEAO1_DS	HEAO2_DS	EXOSAT_DS	ROSAT_DS	GINGA_DS	ASCA_DS	EUVE_DS		Link_Name_SIMBAD 	Link_Coord_SIMBAD
V841 Oph,  16 59 30.3,  -12 53 27,  Nb,    ,  13.63,  0.601304,  825.14,  29.53,  32.04,  V841 Oph,  16 59 30.37,  -12 53 27.2,  0.0026,  0.0045,  -12,  0.0053,  2000,  8,  18,  nb,  0.6014,  1848.,  ,  4.2v-13.5v,  2004-105,  2004-105,  1987-08,  1987-08,  1983-12S,  2003-39,  BD -12 4633,  Y,  ,  ,  ,  Y,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V841 Oph,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=16 59 30.3++-12 53 27&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V479 And,  00 18 56.9,  +34 54 44,  NL,  AM,  17.12,  0.594093,  2625.33,  726.39,  1419.23,  And,  00 18 56.93,  +34 54 44.3,  ,  ,  ,  ,  ,  115,  -27,  nl,  ,  ,  ,  17.8s-,  2005-32,  ,  2005-32,  A9999-99,  2005-32S,  ,  SDSS J001856+345444,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V479 And,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 18 56.9+++34 54 44&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V  Sge,  20 20 14.8,  +21 06 09,  SS,    ,  11.18,  0.514197,  2428.33,  287.99,  340.68,  V Sge,  20 20 14.69,  +21 06 10.4,  -0.0027,  0.0006,  -0.0084,  0.0011,  2000,  62,  -9,  nlv,  0.514197,  ,  ,  10.5V-14.5V,  2004-105,  2004-105,  1998-02,  1983-12,  1983-12S,  1999-102,  He 3-1879,  Y,  Y,  ,  ,  Y,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V  Sge,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=20 20 14.8+++21 06 09&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
J1951+3716,  19 51 47.5,  +37 16 48,  NL,    ,  15.74,  0.492000,  542.06,  18.46,  19.39,  Cyg,  19 51 47.49,  +37 16 47.8,  -0.0037,  0.0058,  -0.0056,  6,  2000,  72,  5,  cv,  492,  ,  ,  15.5B- ,  2004-105,  2004-105,  1998-18,  1998-18,  1998-18S,  2005-117,  RX J1951.7+3716,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=J1951+3716,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 51 47.5+++37 16 48&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
UY Pup,  07 46 31.2,  -12 57 09,  DN,  UG,  15.14,  0.479269,  1063.59,  73.43,  76.26,  UY Pup,  07 46 31.24,  -12 57 09.0,  -0.0076,  0.0014,  0.0111,  0.0063,  2000,  231,  6,  ugz:,  0.479269,  ,  ,  13.5V-15.8V,  2004-105,  2004-105,  1982-03,  1982-03,  1994-07S,  2004-01,  153.1929,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=UY Pup,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=07 46 31.2++-12 57 09&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
NGC 6397-CV1,  17 40 41.6,  -53 40 19,    ,    ,  13.64,  0.471199,  3468.44,  486.38,  715.39,  Ara,  17 40 41.43,  -53 40 17.5,  ,  ,  ,  ,  ,  338,  -12,  cv:,  0.471199,  ,  G,  17.5V-18.3V,  1995-22,  ,  1995-11,  1995-22,  1995-11S,  2006-15,  NGC 6397-CV1,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=NGC 6397-CV1,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=17 40 41.6++-53 40 19&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V442 Cen,  11 24 51.9,  -35 54 38,  DN,  UG,  15.75,  0.460000,  339.48,  8.58,  8.66,  V442 Cen,  11 24 51.93,  -35 54 36.8,  -0.0274,  0.0046,  0.0021,  0.0041,  1991.25,  284,  23,  ugSS,  ,  ,  ,  11.9V-<16.5v,  2004-109,  2004-109,  1982-03/T00000,  1982-03,  1998-03X,  *,  HV 8364,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V442 Cen,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11 24 51.9++-35 54 38&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
EY Cyg,  19 54 36.8,  +32 21 55,  DN,  UG,  14.35,  0.459324,  648.36,  13.59,  14.39,  EY Cyg,  19 54 36.74,  +32 21 55.1,  0.0081,  0.0054,  0.0078,  0.0054,  2000,  69,  2,  ugSS,  0.459324,  ,  ,  11.4v-15.5v,  2004-105,  2004-105,  1987-04/T00000,  1987-04,  1997-07S,  2004-102,  200.1928,  Y,  Y,  ,  ,  ,  Y,  Y,  ,  Y,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EY Cyg,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 54 36.8+++32 21 55&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
QU Car,  11 05 42.8,  -68 37 58,  NL,    ,  11.37,  0.450000,  590.28,  20.97,  22.06,  QU Car,  11 05 42.51,  -68 37 58.2,  -0.01377,  0.00144,  0.00047,  0.00153,  1991.25,  294,  1,  nl,  454,  ,  ,  11.1v-11.5v,  1997-45,  1997-45,  1984-15,  1949-03,  1982-11S,  1982-11,  HDE 310376,  Y,  Y,  ,  Y,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=QU Car,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11 05 42.8++-68 37 58&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
DX And,  23 29 46.7,  +43 45 04,  DN,  UG,  14.78,  0.440502,  598.81,  13.42,  15.38,  DX And,  23 29 46.68,  +43 45 04.1,  -0.0139,  0.0054,  -0.0108,  0.0054,  2000,  108,  -16,  ug,  0.440502,  ,  ,  10.9p-16.4p,  2004-105,  2004-105,  1987-04,  1987-04,  1989-06S,  1997-46,  GR 17,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=DX And,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=23 29 46.7+++43 45 04&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
KO Vel,  10 15 58.4,  -47 58 11,  NL,  IP,  18.73,  0.422000,  675.79,  127.01,  212.71,  KO Vel,  10 15 58.31,  -47 58 10.1,  ,  ,  ,  ,  ,  278,  7,  dq::,  422,  ,  ,  16.7V-19.0V,  ICRS,  ,  1994-46,  1983-09,  1983-06S,  1992-38,  1E 1013-477,  Y,  ,  ,  Y,  Y,  Y,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KO Vel,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=10 15 58.4++-47 58 11&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
Q  Cyg,  21 41 43.9,  +42 50 29,  Na,    ,  14.52,  0.420360,  1376.33,  72.85,  78.07,  Q Cyg,  21 41 43.93,  +42 50 29.1,  0.0029,  0.0054,  -0.0039,  0.0054,  2000,  90,  -7,  na,  0.4202,  1876.90,  ,  3.0v-15.6v,  2004-105,  2004-105,  1987-08,  1987-08,  1986-08S,  2003-85,  BD +42 4182a,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=Q  Cyg,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=21 41 43.9+++42 50 29&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
0928+5004,  09 32 14.9,  +49 50 54,  NL,  UX,  16.52,  0.418380,  2716.41,  557.21,  1011.52,  UMa6,  09 32 14.82,  +49 50 54.8,  0.00032,  0.0039,  -0.00388,  0.00389,  2002022,  168,  46,  nl,  0.41838,  ,  ,  16.3V- ,  2006-22,  2006-22,  1990-25,  1990-25,  1997-07S,  1999-78,  1H 0928+500,  ,  ,  ,  Y,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=0928+5004,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=09 32 14.9+++49 50 54&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
