Name	RAJ2000	DEJ2000	Type1	Type2	mag1	Orb.Per	Distance	5%	95%	GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
NY Lup,  15 48 14.6,  -45 28 40,  NL,  IP,  14.33,  0.411000,  1278.19,  67.69,  78.16,  Lup,  15 48 14.59,  -45 28 40.5,  ,  ,  ,  ,  ,  332,  7,  dq,  0.4112,  ,  ,  14.6V-,  ICRS,  ,  2002-33,  2002-33,  2002-33S,  2006-11,  1RXS J154814-452845,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=NY Lup
SY Cnc,  09 01 03.4,  +17 53 56,  DN,  ZC,  12.56,  0.382375,  448.81,  13.68,  15.11,  SY Cnc,  09 01 03.34,  +17 53 56.1,  -0.02893,  3,  -0.00699,  3,  1991.25,  210,  36,  ugz,  0.38,  ,  ,  11.1V-14.5V,  2001-119,  2001-119,  1987-20,  1982-03,  1983-12S,  1983-24,  BD +18 2101,  Y,  ,  ,  ,  ,  Y,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=SY Cnc
AT Ara,  17 30 33.8,  -46 05 59,  DN,  UG,  15.03,  0.375500,  993.66,  75.59,  88.80,  AT Ara,  17 30 33.79,  -46 05 58.1,  ,  ,  ,  ,  ,  344,  -6,  ugSS,  0.3755,  ,  ,  11.5v-14.9v,  ICRS,  ,  1982-03/T00000,  1982-03,  2003-70S,  2003-70,  HV 6551,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AT Ara
RU Peg,  22 14 02.6,  +12 42 11,  DN,  UG,  12.27,  0.374600,  276.67,  5.77,  5.97,  RU Peg,  22 14 02.56,  +12 42 11.5,  -0.01706,  0.0151,  -0.0065,  0.01529,  1991.25,  74,  -35,  ugSS,  0.3746,  ,  ,  9.0V-13.1V,  2001-119,  2001-119,  1987-20/T00000,  1982-03,  1983-12S,  1981-21,  142.1904,  Y,  Y,  ,  ,  Y,  Y,  Y,  ,  Y,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RU Peg
RZ Gru,  22 47 12.0,  -42 44 39,  NL,  UX,  12.63,  0.360000,  545.10,  27.43,  30.71,  RZ Gru,  22 47 12.00,  -42 44 38.7,  0.0304,  0.0024,  0.0024,  0.0023,  2000,  353,  -60,  ux,  ,  ,  ,  12.3V-13.4V,  2000-110,  2000-110,  1995-41,  1981-15,  1981-15S,  *,  S 5150,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RZ Gru
QZ Aur,  05 28 34.0,  +33 18 23,  Na,    ,  16.89,  0.357496,  3257.85,  1182.36,  2702.80,  QZ Aur,  05 28 34.06,  +33 18 20.9,  0.0019,  5,  -0.0242,  5,  2000,  174,  -1,  na,  0.357496,  1964.1,  ,  6.0p-17.5B,  2004-106,  2004-106,  1987-08,  1987-08,  1994-02S,  1995-54,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=QZ Aur
J2256-2743,  22 56 47.8,  -27 43 25,  DN,    ,  16.78,  0.350100,  1403.98,  221.31,  310.98,  PsA,  22 56 47.85,  -27 43 25.1,  0.0148,  0.0082,  -0.0024,  0.0076,  1991.25,  25,  -65,  cv,  ,  ,  ,  17.5b-,  2004-109,  2004-109,  2004-77,  2004-77,  ,  ,  2QZ J225647.8-274325,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=J2256-2743
GY Hya,  14 30 30.5,  -25 52 38,  DN,  UG,  15.65,  0.347237,  686.00,  32.80,  36.25,  GY Hya,  14 30 30.47,  -25 52 38.0,  -0.0127,  0.0061,  -11,  0.0047,  2000,  329,  31,  ug,  0.347237,  ,  ,  14p-16p,  2004-105,  2004-105,  2006-07,  1982-03,  1996-01S,  2005-58,  S 6576,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=GY Hya
CH UMa,  10 07 00.6,  +67 32 47,  DN,  UG,  14.78,  0.343184,  380.85,  5.02,  5.14,  CH UMa,  10 07 00.69,  +67 32 47.3,  -1,  5,  -0.0076,  5,  2000,  143,  43,  ug,  0.343184,  ,  ,  10.7V-15.3V,  1987-28,  1987-28,  1987-04,  1987-04,  1987-05S,  2004-01,  PG 1003+678,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CH UMa
MU Cen,  12 12 53.9,  -44 28 16,  DN,  UG,  14.47,  0.342000,  521.86,  14.29,  14.44,  MU Cen,  12 12 53.88,  -44 28 16.1,  -0.0173,  0.01,  -0.0046,  0.01,  1998483,  296,  17,  ugSS,  342,  ,  ,  11.8V-14.9V,  2000-108,  2000-108,  1982-03/T00000,  1982-03,  1996-01S,  1990-35,  vG 41,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=MU Cen
