 FI Cas, 00 06 09.96, +55 58 50.7,-21,5, -0.0048,5,2000,117,-6, ugSS, , , , 15.0p-18.5p, 2004-106, 2004-106, 1987-04/T00000, 1987-04, 2000-01S, , 230.1940, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 06 09.96+++55 58 50.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 05.65, -72 04 49.2, , , , , ,306,-45, cv:, , , G, -, 2005-25, , 2005-25*, , , , NGC 104-W32, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 05.65++-72 04 49.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.02, -72 04 55.8, , , , , ,306,-45, ug, , , G, 15.4f-20.4V, 2001-111*, , 1994-06, 2002-91, 1994-06X, *, NGC 104 PC1-V53, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.02++-72 04 55.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.26, -72 04 45.9, , , , , ,306,-45, cv:, , , G, 18.5V-, 2001-111*, , 2001-111, 2002-91, , , NGC 104 PC1-V52, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.26++-72 04 45.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.38, -72 04 48.9, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.38++-72 04 48.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.43, -72 05 07.0, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.43++-72 05 07.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.51, -72 04 52.0, , , , , ,306,-45, cv, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 PC1-V36, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.51++-72 04 52.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.59, -72 05 04.1, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.59++-72 05 04.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.62, -72 04 56.1, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.62++-72 04 56.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.80, -72 05 10.2, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.80++-72 05 10.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.86, -72 05 45.7, , , , , ,306,-45, cv, , , G, 21.3V-, 2003-78, , 2003-78, 2003-78, , , NGC 104-W25, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.86++-72 05 45.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 06.89, -72 04 53.0, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 06.89++-72 04 53.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 07.92, -72 04 54.8, , , , , ,306,-45, cv:, , , G, -, 2005-25, , 2005-25*, , , , NGC 104-W20, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 07.92++-72 04 54.8&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 08.28, -72 04 35.7, , , , , ,306,-45, cv:, , , G, -, 2005-25, , 2005-25*, , , , NGC 104-W16, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 08.28++-72 04 35.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 08.43, -72 05 06.4, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 08.43++-72 05 06.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 08.49, -72 04 59.9, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 08.49++-72 04 59.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 08.63, -72 04 58.9, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 08.63++-72 04 58.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 08.64, -72 05 06.5, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 08.64++-72 05 06.5&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 08.86, -72 05 01.6, , , , , ,306,-45, cv:, , , G, -, 2002-57*, , 2002-57, 2002-57, , , NGC 104 CV, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 08.86++-72 05 01.6&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 09.08, -72 05 43.9, , , , , ,306,-45, cv:, , , G, 21.6w-, 2003-78, , 2003-78, A9999-99*, , , NGC 104-W140, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 09.08++-72 05 43.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
